City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,napasar,27.9667,73.55,29.86,12,1,1.53,IN,1681059797
145,samana,19.2056,-69.3369,30.12,70,40,5.14,DO,1681059797
146,norden,53.6,7.2,14.52,52,100,4.11,DE,1681059797
147,boa vista,2.8197,-60.6733,34.99,34,20,2.06,BR,1681059524
148,carnarvon,-24.8667,113.6333,22.21,64,4,5.46,AU,1681059588
149,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1681059476
150,odweyne,9.4092,45.064,27.97,31,18,4.78,SO,1681059797
151,koumac,-20.5667,164.2833,23.73,78,5,1.15,NC,1681059797
152,oranjestad,12.524,-70.027,29.97,66,75,8.23,AW,1681059659
153,paralimni,35.0375,33.9833,20.49,76,96,6.71,CY,1681059798
154,jalu,29.0331,21.5482,23.08,36,0,9.77,LY,1681059630
155,katsuura,35.1333,140.3,14.28,65,28,5.41,JP,1681059798
156,hofn,64.2539,-15.2082,7.16,92,100,9.94,IS,1681059590
157,ponta do sol,32.6667,-17.1,20.35,55,3,2.44,PT,1681059573
158,haicheng,40.8516,122.7475,10.22,70,43,6.37,CN,1681059798
159,coquimbo,-29.9533,-71.3436,16.85,88,100,3.09,CL,1681059665
160,leningradskiy,69.3833,178.4167,-20.71,97,100,6.1,RU,1681059593
161,arraial do cabo,-22.9661,-42.0278,25.92,78,100,5.66,BR,1681059588
162,antofagasta,-23.65,-70.4,22.6,72,10,4.47,CL,1681059734
163,kibala,9.1104,18.3463,37.97,23,0,2.57,TD,1681059799
164,coahuayana,18.7333,-103.6833,32.78,29,59,2.55,MX,1681059799
165,pangai,-19.8,-174.35,27.47,74,39,6.71,TO,1681059799
166,sept-iles,50.2001,-66.3821,1.14,58,75,6.69,CA,1681059589
167,traiguen,-38.25,-72.6833,24.83,19,99,1.09,CL,1681059799
168,ixtapa,20.7,-105.2,25.57,61,20,3.09,MX,1681059800
169,kahului,20.8947,-156.47,23.25,83,40,2.68,US,1681059402
170,kaitangata,-46.2817,169.8464,12.94,96,96,5.3,NZ,1681059589
171,lazaro cardenas,17.9583,-102.2,29.63,50,94,2.89,MX,1681059800
172,dover,39.1582,-75.5244,15.05,40,0,0.89,US,1681059801
173,kapaa,22.0752,-159.319,21.72,90,48,6.33,US,1681059591
174,kodiak,57.79,-152.4072,-7.27,45,0,9.77,US,1681059573
175,srivardhan,18.0333,73.0167,27.92,70,7,2.73,IN,1681059801
176,vila velha,-20.3297,-40.2925,27.97,74,40,6.69,BR,1681059626
177,saskylakh,71.9167,114.0833,-18.7,99,100,1.64,RU,1681059581
178,lagoa,39.05,-27.9833,15.91,91,64,7.11,PT,1681059642
179,camacha,33.0833,-16.3333,17.68,68,40,4.63,PT,1681059598
180,parana,-31.732,-60.5238,27.51,55,0,3.36,AR,1681059759
